Num,config,Num_Fe,a1,a2,a3,a4,a5,a6,a7,a8,a9,Etot_htr,dEform_eV,Emca_meV,Damp  # 0:Fe 1:Co
189,CFCFFFFCC,5,1,0,1,0,0,0,0,1,1,-13040.5747681328,-0.016078,-0.6969,0.0096609840
190,CFCFFFFCF,6,1,0,1,0,0,0,0,1,0,-12919.9039846112,-0.016731,-1.0930,0.0323832640
191,CFCFFFFFC,6,1,0,1,0,0,0,0,0,1,-12919.9049638332,-0.017711,-0.2623,0.0192515410
192,CFCFFFFFF,7,1,0,1,0,0,0,0,0,0,-12799.2275819706,-0.011766,0.7100,0.0058704551
193,CFFCCCCCC,2,1,0,0,1,1,1,1,1,1,-13402.5812786113,-0.008276,0.6094,0.0155303831
194,CFFCCCCCF,3,1,0,0,1,1,1,1,1,0,-13281.9118419152,-0.010277,0.2150,0.0096302641
195,CFFCCCCFC,3,1,0,0,1,1,1,1,0,1,-13281.9184333749,-0.016868,0.7582,0.0116730364
196,CFFCCCCFF,4,1,0,0,1,1,1,1,0,0,-13161.2400807373,-0.009953,1.1328,0.0081119661
197,CFFCCCFCC,3,1,0,0,1,1,1,0,1,1,-13281.9145770786,-0.013012,-0.3741,0.0132038356
198,CFFCCCFCF,4,1,0,0,1,1,1,0,1,0,-13161.2453717203,-0.015244,0.2210,0.0144237778
199,CFFCCCFFC,4,1,0,0,1,1,1,0,0,1,-13161.2471773272,-0.017049,-0.2099,0.0092110027
200,CFFCCCFFF,5,1,0,0,1,1,1,0,0,0,-13040.5701379607,-0.011447,1.2421,0.0081459620
201,CFFCCFCCC,3,1,0,0,1,1,0,1,1,1,-13281.9146856953,-0.013120,-0.6507,0.0080128308
202,CFFCCFCCF,4,1,0,0,1,1,0,1,1,0,-13161.2457910683,-0.015663,-0.7232,0.0101940243
203,CFFCCFCFC,4,1,0,0,1,1,0,1,0,1,-13161.2545127135,-0.024385,-0.7925,0.0081069222
204,CFFCCFCFF,5,1,0,0,1,1,0,1,0,0,-13040.5740131992,-0.015323,0.2327,0.0050870075
205,CFFCCFFCC,4,1,0,0,1,1,0,0,1,1,-13161.2440026380,-0.013875,-0.9499,0.0095679015
206,CFFCCFFCF,5,1,0,0,1,1,0,0,1,0,-13040.5734372220,-0.014747,-1.0958,0.0167765105
207,CFFCCFFFC,5,1,0,0,1,1,0,0,0,1,-13040.5760445405,-0.017354,-0.3533,0.0078213049
208,CFFCCFFFF,6,1,0,0,1,1,0,0,0,0,-12919.8983971933,-0.011144,-0.0174,0.0061726835
209,CFFCFCCCC,3,1,0,0,1,0,1,1,1,1,-13281.9163016164,-0.014736,0.0005,0.0109963712
210,CFFCFCCCF,4,1,0,0,1,0,1,1,1,0,-13161.2479823427,-0.017854,0.0062,0.0148959087
211,CFFCFCCFC,4,1,0,0,1,0,1,1,0,1,-13161.2525039028,-0.022376,-0.8740,0.0123862676
212,CFFCFCCFF,5,1,0,0,1,0,1,1,0,0,-13040.5747098721,-0.016019,-0.3127,0.0087442660
